Wavelength (nm),ANSI IES RP 27.1-22 (Eye),ANSI IES RP 27.1-22 (Skin),IEC 62471-6:2022 (Eye/Skin)
180,0.00184,0.0003,0.012
185,0.00184,0.0003,0.0155
190,0.00184,0.0003,0.019
195,0.00184,0.0003,0.0245
200,0.001845,0.0003,0.03
201,0.001845,0.000344,0.033359
202,0.001845,0.000395,0.037094
203,0.001845,0.000454,0.041247
204,0.001845,0.000521,0.045865
205,0.001845,0.0006,0.051
206,0.001845,0.000689,0.055089
207,0.001846,0.000791,0.059507
208,0.002153,0.000908,0.064278
209,0.002513,0.001042,0.069433
210,0.00293,0.001196,0.075
211,0.003419,0.001374,0.078631
212,0.003989,0.001577,0.082438
213,0.004655,0.00181,0.086429
214,0.005434,0.002078,0.090613
215,0.00634,0.002386,0.095
216,0.007398,0.002739,0.099544
217,0.008632,0.003144,0.104305
218,0.010071,0.00361,0.109294
219,0.011751,0.004144,0.114522
220,0.013712,0.004758,0.12
221,0.015999,0.005462,0.125477
222,0.018668,0.00627,0.131203
223,0.021782,0.007199,0.137192
224,0.025415,0.008264,0.143453
225,0.029654,0.009487,0.15
226,0.034601,0.010892,0.157262
227,0.040373,0.012504,0.164876
228,0.047107,0.014355,0.172858
229,0.054965,0.01648,0.181226
230,0.064134,0.018919,0.19
231,0.074832,0.02172,0.199088
232,0.087315,0.024935,0.208611
233,0.10188,0.028625,0.218589
234,0.118875,0.032863,0.229044
235,0.138704,0.037727,0.24
236,0.161841,0.043311,0.250953
237,0.188838,0.049722,0.262407
238,0.220338,0.057082,0.274383
239,0.257092,0.065532,0.286906
240,0.3,0.075232,0.3
241,0.311141,0.086368,0.311141
242,0.322696,0.099152,0.322696
243,0.33468,0.113829,0.33468
244,0.347109,0.130678,0.347109
245,0.36,0.150021,0.36
246,0.373023,0.172227,0.373023
247,0.386517,0.19772,0.386517
248,0.4005,0.226987,0.4005
249,0.414988,0.260586,0.414988
250,0.43,0.3,0.43
251,0.446523,0.3,0.446523
252,0.463681,0.3,0.463681
253,0.481498,0.3,0.481498
254,0.5,0.3,0.5
255,0.52,0.3,0.52
256,0.543733,0.3,0.543733
257,0.568548,0.3,0.568548
258,0.594497,0.3,0.594497
259,0.621629,0.3,0.621629
260,0.65,0.3,0.65
261,0.679247,0.3,0.679247
262,0.70981,0.3,0.70981
263,0.741748,0.3,0.741748
264,0.775123,0.3,0.775123
265,0.81,0.3,0.81
266,0.844866,0.3,0.844866
267,0.881234,0.3,0.881234
268,0.919166,0.3,0.919166
269,0.958732,0.3,0.958732
270,1,0.3,1
271,0.991869,0.3,0.991869
272,0.983804,0.3,0.983804
273,0.975804,0.3,0.975804
274,0.96787,0.3,0.96787
275,0.96,0.3,0.96
276,0.943438,0.3,0.943438
277,0.927162,0.3,0.927162
278,0.911167,0.3,0.911167
279,0.895448,0.3,0.895448
280,0.88,0.3,0.88
281,0.85681,0.3,0.85681
282,0.83423,0.3,0.83423
283,0.812246,0.3,0.812246
284,0.790841,0.3,0.790841
285,0.77,0.3,0.77
286,0.742042,0.3,0.742042
287,0.715099,0.3,0.715099
288,0.689135,0.3,0.689135
289,0.664113,0.3,0.664113
290,0.64,0.3,0.64
291,0.618618,0.3,0.618618
292,0.597951,0.3,0.597951
293,0.577974,0.3,0.577974
294,0.558664,0.3,0.558664
295,0.54,0.3,0.54
296,0.498397,0.3,0.498397
297,0.46,0.3,0.46
298,0.398914,0.3,0.398914
299,0.345939,0.3,0.345939
300,0.3,0.3,0.3
301,0.221042,0.221042,0.221042
302,0.162865,0.162865,0.162865
303,0.12,0.12,0.12
304,0.084853,0.084853,0.084853
305,0.06,0.06,0.06
306,0.045404,0.045404,0.045404
307,0.034358,0.034358,0.034358
308,0.026,0.026,0.026
309,0.019748,0.019748,0.019748
310,0.015,0.015,0.015
311,0.011052,0.011052,0.011052
312,0.008143,0.008143,0.008143
313,0.006,0.006,0.006
314,0.004243,0.004243,0.004243
315,0.003,0.003,0.003
316,0.0024,0.0024,0.0024
317,0.002,0.002,0.002
318,0.0016,0.0016,0.0016
319,0.0012,0.0012,0.0012
320,0.001,0.001,0.001
321,0.000819,0.000819,0.000819
322,0.00067,0.00067,0.00067
323,0.00054,0.00054,0.00054
324,0.00052,0.00052,0.00052
325,0.0005,0.0005,0.0005
326,0.000479,0.000479,0.000479
327,0.000459,0.000459,0.000459
328,0.00044,0.00044,0.00044
329,0.000425,0.000425,0.000425
330,0.00041,0.00041,0.00041
331,0.000396,0.000396,0.000396
332,0.000383,0.000383,0.000383
333,0.00037,0.00037,0.00037
334,0.000355,0.000355,0.000355
335,0.00034,0.00034,0.00034
336,0.000327,0.000327,0.000327
337,0.000315,0.000315,0.000315
338,0.000303,0.000303,0.000303
339,0.000291,0.000291,0.000291
340,0.00028,0.00028,0.00028
341,0.000271,0.000271,0.000271
342,0.000263,0.000263,0.000263
343,0.000255,0.000255,0.000255
344,0.000248,0.000248,0.000248
345,0.00024,0.00024,0.00024
346,0.000231,0.000231,0.000231
347,0.000223,0.000223,0.000223
348,0.000215,0.000215,0.000215
349,0.000207,0.000207,0.000207
350,0.0002,0.0002,0.0002
351,0.000191,0.000191,0.000191
352,0.000183,0.000183,0.000183
353,0.000175,0.000175,0.000175
354,0.000167,0.000167,0.000167
355,0.00016,0.00016,0.00016
356,0.000153,0.000153,0.000153
357,0.000147,0.000147,0.000147
358,0.000141,0.000141,0.000141
359,0.000136,0.000136,0.000136
360,0.00013,0.00013,0.00013
361,0.000126,0.000126,0.000126
362,0.000122,0.000122,0.000122
363,0.000118,0.000118,0.000118
364,0.000114,0.000114,0.000114
365,0.00011,0.00011,0.00011
366,0.000106,0.000106,0.000106
367,0.000103,0.000103,0.000103
368,0.000099,0.000099,0.000099
369,0.000096,0.000096,0.000096
370,0.000093,0.000093,0.000093
371,0.00009,0.00009,0.00009
372,0.000086,0.000086,0.000086
373,0.000083,0.000083,0.000083
374,0.00008,0.00008,0.00008
375,0.000077,0.000077,0.000077
376,0.000074,0.000074,0.000074
377,0.000072,0.000072,0.000072
378,0.000069,0.000069,0.000069
379,0.000066,0.000066,0.000066
380,0.000064,0.000064,0.000064
381,0.000062,0.000062,0.000062
382,0.000059,0.000059,0.000059
383,0.000057,0.000057,0.000057
384,0.000055,0.000055,0.000055
385,0.000053,0.000053,0.000053
386,0.000051,0.000051,0.000051
387,0.000049,0.000049,0.000049
388,0.000047,0.000047,0.000047
389,0.000046,0.000046,0.000046
390,0.000044,0.000044,0.000044
391,0.000042,0.000042,0.000042
392,0.000041,0.000041,0.000041
393,0.000039,0.000039,0.000039
394,0.000037,0.000037,0.000037
395,0.000036,0.000036,0.000036
396,0.000035,0.000035,0.000035
397,0.000033,0.000033,0.000033
398,0.000032,0.000032,0.000032
399,0.000031,0.000031,0.000031
400,0.00003,0.00003,0.00003
